plotcode,AGB,TCH,x,y,year
L6_T1_P4,149.366190428708,14.1197747458953,222023.732003162,9761876.76071085,2011
L6_T2_P3,110.864938535192,12.8549997103851,222326.755659053,9761985.1242346,2011
L6_T2_P4,99.1772807343427,12.6747343941611,222019.584502432,9761981.72741704,2011
L6_T3_P4,189.034056615118,14.2824888776391,222025.126962581,9762086.31747431,2011
L7_T1_P1,183.549799822477,15.7883116059219,223763.409898697,9762132.16832503,2011
L7_T1_P2,188.677869900446,15.1311163146379,223862.910448065,9762130.65067878,2011
L7_T2_P1,215.791456304513,16.7039877455921,223761.273963709,9762028.02619362,2011
L7_T2_P2,254.359003851287,16.8256870760674,223863.379323053,9762026.35147328,2011
L7_T3_P1,210.614223373274,16.21416060258,223764.851151968,9761927.61218389,2011
L7_T3_P2,271.632533220915,16.7800987168511,223854.698496625,9761933.70604344,2011
L6_T1_P4,227.496093438907,15.7548556147534,222023.732003162,9761876.76071085,2015
L6_T2_P3,157.297602550821,14.9421367622581,222326.755659053,9761985.1242346,2015
L6_T2_P4,131.994700907244,13.9825201054313,222019.584502432,9761981.72741704,2015
L6_T3_P4,247.442328464886,15.179815651099,222025.126962581,9762086.31747431,2015
L7_T1_P1,223.959802073708,17.8333657778733,223763.409898697,9762132.16832503,2015
L7_T1_P2,268.81407868027,16.6867692980874,223862.910448065,9762130.65067878,2015
L7_T2_P1,242.088686230575,17.8741259606664,223761.273963709,9762028.02619362,2015
L7_T2_P2,285.271228730303,18.2316514071295,223863.379323053,9762026.35147328,2015
L7_T3_P1,299.460138550115,18.1818543224503,223764.851151968,9761927.61218389,2015
L7_T3_P2,329.556197452218,18.4184138383809,223854.698496625,9761933.70604344,2015
L1_T1_P1,101.571208228278,14.5872841270048,235402.639168476,9761703.98564436,2011
L1_T1_P2,104.206512583394,12.3747475070899,235301.770144172,9761703.97187364,2011
L1_T1_P3,102.777639561608,11.8318225503074,235003.257702438,9761705.53342149,2011
L1_T1_P4,168.824352917608,13.3955899485146,234700.653356024,9761708.48329679,2011
L1_T2_P1,94.8220618231577,11.6564726875964,235403.316729859,9761809.6694772,2011
L1_T2_P2,85.7439425935145,12.6157299249941,235302.139249358,9761811.27140909,2011
L1_T2_P3,114.779987832095,13.0013173710216,235003.973334673,9761816.41525328,2011
L1_T2_P4,208.501323501104,16.2057379816167,234700.051580223,9761821.62997605,2011
L1_T3_P1,97.7603743736273,11.754575691478,235401.18199309,9761901.67483893,2011
L1_T3_P2,53.1975859908188,10.2890017570361,235304.193285262,9761904.16733595,2011
L1_T3_P3,100.694201347344,11.9621397406757,234999.608077042,9761910.86750851,2011
L1_T3_P4,190.200215524837,16.0125243793325,234699.717663867,9761914.7881811,2011
L8_T1_P1,121.646339747875,13.4381432701991,229848.400239244,9761813.77019476,2011
L8_T1_P2,69.4932662247124,12.2922096312888,229748.742322304,9761815.28285537,2011
L8_T1_P3,119.560088691031,13.3874742388725,229450.474224883,9761817.80727435,2011
L8_T1_P4,73.1837298410496,12.5915058572456,229153.320785527,9761818.12011585,2011
L8_T2_P1,93.4073146884079,11.3106664347829,229848.100362275,9761912.84871984,2011
L8_T2_P2,122.634335427444,12.6751035871067,229751.826278305,9761909.54766872,2011
L8_T2_P3,131.561742919541,13.6504226575745,229453.141354689,9761912.31229195,2011
L8_T2_P4,78.0883041363664,12.915476844248,229154.748094445,9761916.89412467,2011
L8_T3_P1,114.470065779039,13.3121804439834,229849.535085932,9762010.46098439,2011
L8_T3_P2,146.121188702733,14.1440813179961,229752.773451703,9762008.50666176,2011
L8_T3_P3,139.444870229544,12.7430150953929,229448.57703873,9762014.73134757,2011
L8_T3_P4,142.492039782096,14.0954685996398,229156.403528013,9762020.5307639,2011
L1_T1_P1,157.356349000314,15.6615159922714,235402.639168476,9761703.98564436,2016
L1_T1_P2,131.4894701394,13.3896040388049,235301.770144172,9761703.97187364,2016
L1_T1_P3,166.241859504712,13.4321585602284,235003.257702438,9761705.53342149,2016
L1_T1_P4,243.629303616641,15.1420094091136,234700.653356024,9761708.48329679,2016
L1_T2_P1,137.52859698341,12.7511219521891,235403.316729859,9761809.6694772,2016
L1_T2_P2,142.36037511209,13.4698069948726,235302.139249358,9761811.27140909,2016
L1_T2_P3,130.347545477288,13.2580385126737,235003.973334673,9761816.41525328,2016
L1_T2_P4,248.985219657124,17.5852324791452,234700.051580223,9761821.62997605,2016
L1_T3_P1,138.135110481168,12.9810943918586,235401.18199309,9761901.67483893,2016
L1_T3_P2,102.315472306143,11.5141400439967,235304.193285262,9761904.16733595,2016
L1_T3_P3,140.91705598758,13.2888897112012,234999.608077042,9761910.86750851,2016
L1_T3_P4,176.577487005503,17.8834352287916,234699.717663867,9761914.7881811,2016
L8_T1_P1,160.974747015126,14.6882560819311,229848.400239244,9761813.77019476,2016
L8_T1_P2,113.091644016191,14.4634708995535,229748.742322304,9761815.28285537,2016
L8_T1_P3,178.171587294379,15.6341238712585,229450.474224883,9761817.80727435,2016
L8_T1_P4,129.978818545151,14.7034422967766,229153.320785527,9761818.12011585,2016
L8_T2_P1,123.570214790256,12.4953229461204,229848.100362275,9761912.84871984,2016
L8_T2_P2,145.032094137137,14.5766762112581,229751.826278305,9761909.54766872,2016
L8_T2_P3,205.815941459955,15.8011275122893,229453.141354689,9761912.31229195,2016
L8_T2_P4,170.31025925242,15.1516696302068,229154.748094445,9761916.89412467,2016
L8_T3_P1,185.240443062454,15.2858738941387,229849.535085932,9762010.46098439,2016
L8_T3_P2,182.517440547371,15.8866857314017,229752.773451703,9762008.50666176,2016
L8_T3_P3,204.827732718223,15.0583586387604,229448.57703873,9762014.73134757,2016
L8_T3_P4,199.435014014719,16.1520529357314,229156.403528013,9762020.5307639,2016
C1_Tuanan,290.893061924518,18.781843679584,216569.98210341,9761881.55624008,2014
C10_Tuanan,158.550084230839,12.5332881207415,218641.436845134,9762609.14010357,2014
C13_Tuanan,275.096700188873,18.3930169473023,216333.979813844,9761891.84415016,2014
C14_Tuanan,254.515828293901,16.9311731889756,216373.613392612,9761663.93089937,2014
C15_Tuanan,270.975678393857,17.6538852030004,216322.101718509,9761541.51834758,2014
C16_Tuanan,254.409335484353,19.1209916890487,217163.210512764,9761852.45581416,2014
C17_Tuanan,196.457881584683,14.5535322125433,217164.755712157,9761720.02661864,2014
C18_Tuanan,249.876783495945,17.075403153383,217154.156994745,9761524.53345353,2014
C2_Tuanan,201.547568352915,15.3678733211913,216565.085953124,9761724.54973338,2014
C3_Tuanan,278.211827513657,17.5276863211573,216551.925389255,9761577.30899235,2014
C4_Tuanan,182.850128318213,17.5821760923547,216983.810343262,9761880.39360372,2014
C5_Tuanan,265.785256261203,18.4435903357011,216990.192261351,9761739.311238,2014
C6_Tuanan,151.601971344908,17.1154068795867,216990.443654363,9761588.26124896,2014
C7_Tuanan,186.960572892456,13.6142119177081,218275.392754333,9762605.92797445,2014
C9_Tuanan,258.116713592923,17.2939263148458,218271.396395674,9762300.53447851,2014
plot_10,173.209411051937,12.6591866160168,235356.493039818,9761788.62088659,2014
plot_11,165.871544906787,14.5926649708638,234437.275070015,9761808.65366102,2014
plot_12,206.580748039053,16.4087848175345,233459.582250786,9761819.16200064,2014
plot_13,272.612228770766,15.3594835099914,232457.267686649,9761832.98193961,2014
plot_14,159.301564607791,14.3682838796393,231525.967678889,9761812.7887246,2014
plot_15,129.804002602027,14.2772936665757,230470.630320195,9761869.54916659,2014
plot_16,205.398732652024,16.3971890251621,229402.619951642,9761891.05708089,2014
plot_17,192.364766669056,14.9832895201451,228474.417484912,9761905.51537234,2014
plot_2,203.822762372889,16.3411096024642,217357.456655257,9761793.0519476,2014
plot_3,197.711706839844,15.941086554009,218352.684781242,9761765.14570456,2014
plot_4,289.412912441766,16.0371721158837,219360.444041205,9761737.06747344,2014
plot_5,242.729573558194,18.4758745623442,220675.197109959,9762000.76787043,2014
plot_6,138.774211525542,14.2639144725236,221794.972478718,9761952.44827393,2014
plot_7,210.964110672179,17.2870705898932,223013.243588517,9761951.68857252,2014
plot_8,192.784634334471,18.3816773105007,223835.766592749,9761996.26866771,2014
plot_9,206.490481612516,15.1459651182924,224899.987232793,9761971.31399958,2014
